Время - Уставка	Давление [МПа] - Уставка	Время - Текущее	Давление [МПа] - Текущее	Время - ДД 38.2	Давление [МПа] - ДД 38.2
2362	0	2362	0,503869	2362	0,0111049
2362	0	2362	0,503869	2362	0,0111049
2362	0	2362	0,504161	2362	0,00658506
2362	0	2362	0,504161	2362	0,00658506
2362	0	2362	0,502946	2362	0,0043388
2362	0	2362	0,502946	2362	0,0043388
2362	0	2362	0,502307	2362	0,00943278
2362	0	2362	0,502307	2362	0,00943278
2362	0	2362	0,503857	2362	0,0134453
2363	0	2363	0,503857	2363	0,0134453
2363	0	2363	0,503857	2363	0,0134453
2363	0	2363	0,503892	2363	0,00888763
2363	0	2363	0,503892	2363	0,00888763
2363	0	2363	0,503596	2363	0,00308183
2363	0	2363	0,503596	2363	0,00308183
2363	0	2363	0,504188	2363	0,00308183
2363	0	2363	0,504188	2363	-0,0023024
2363	0	2363	0,502892	2363	-0,0023024
2364	0	2364	0,502892	2364	-0,00821594
2364	0	2364	0,502761	2364	-0,00821594
2364	0	2364	0,502761	2364	-0,00821594
2364	0	2364	0,502642	2364	0,00119997
2364	0	2364	0,502642	2364	0,00119997
2364	0	2364	0,502653	2364	0,00177722
2364	0	2364	0,502653	2364	0,00177722
2364	0	2364	0,502653	2364	0,00425076
2364	0	2364	0,50213	2364	0,00425076
2364	0	2364	0,50213	2364	0,00427402
2364	0	2364	0,500792	2364	0,00427402
2365	0	2365	0,500792	2365	0,00427402
2365	0	2365	0,499992	2365	0,00137936
2365	0	2365	0,499992	2365	0,00137936
2365	0	2365	0,499992	2365	0,00776395
2365	0	2365	0,499261	2365	0,00776395
2365	0	2365	0,499261	2365	0,00594918
2365	0	2365	0,500392	2365	0,00594918
2365	0	2365	0,500392	2365	0,00638487
2365	0	2365	0,500392	2365	0,00638487
2366	0	2366	0,502523	2366	0,00638487
2366	0	2366	0,502523	2366	0,00457497
2366	0	2366	0,502584	2366	0,00457497
2366	0	2366	0,502584	2366	0,00347569
2366	0	2366	0,503923	2366	0,00347569
2366	0	2366	0,503923	2366	0,0046666
2366	0	2366	0,503923	2366	0,0046666
2366	0	2366	0,503827	2366	-0,000783057
2366	0	2366	0,503827	2366	-0,000783057
2366	0	2366	0,503454	2366	-0,00448033
2366	0	2366	0,503454	2366	-0,00448033
2367	0	2367	0,503004	2367	-0,00259091
2367	0	2367	0,503004	2367	-0,00259091
2367	0	2367	0,503004	2367	-0,000784058
2367	0	2367	0,504177	2367	-0,000784058
2367	0	2367	0,504177	2367	-0,00715323
2367	0	2367	0,503504	2367	-0,00715323
2367	0	2367	0,503504	2367	0,00672829
2367	0	2367	0,503904	2367	0,00672829
2367	0	2367	0,503904	2367	0,00745361
2368	0	2368	0,50303	2368	0,00745361
2368	0	2368	0,50303	2368	0,00154841
2368	0	2368	0,50303	2368	0,00154841
2368	0	2368	0,505219	2368	0,00259273
2368	0	2368	0,505219	2368	0,00259273
2368	0	2368	0,503134	2368	0,0137962
2368	0	2368	0,503134	2368	0,0137962
2368	0	2368	0,503961	2368	0,0137962
2368	0	2368	0,503961	2368	0,00726321
2368	0	2368	0,503961	2368	0,00726321
2368	0	2368	0,503877	2368	0,00690498
2369	0	2369	0,503877	2369	0,00690498
2369	0	2369	0,503346	2369	0,00723519
2369	0	2369	0,503346	2369	0,00723519
2369	0	2369	0,503346	2369	0,00450549
2369	0	2369	0,503711	2369	0,00450549
2369	0	2369	0,503711	2369	0,00260187
2369	0	2369	0,503619	2369	0,00260187
2369	0	2369	0,503619	2369	0,00260187
2369	0	2369	0,502784	2369	0,00204796
2370	0	2370	0,502784	2370	0,00204796
2370	0	2370	0,502784	2370	0,00101382
2370	0	2370	0,503077	2370	0,00101382
2370	0	2370	0,503077	2370	0,00222156
2370	0	2370	0,502423	2370	0,00222156
2370	0	2370	0,502423	2370	0,00222156
2370	0	2370	0,502292	2370	-0,00242947
2370	0	2370	0,502292	2370	-0,00242947
2370	0	2370	0,502234	2370	-0,0116805
2370	0	2370	0,502234	2370	-0,0116805
2370	0	2370	0,502234	2370	0,00155422
2371	0	2371	0,5032	2371	0,00155422
2371	0	2371	0,5032	2371	0,00155422
2371	0	2371	0,503142	2371	-0,00568745
2371	0	2371	0,503142	2371	-0,00568745
2371	0	2371	0,503761	2371	-0,000613246
2371	0	2371	0,503761	2371	-0,000613246
2371	0	2371	0,503761	2371	0,00593803
2371	0	2371	0,502988	2371	0,00593803
2371	0	2371	0,502988	2371	-0,00211443
2372	0	2372	0,501119	2372	-0,00211443
2372	0	2372	0,501119	2372	-0,00534097
2372	0	2372	0,499053	2372	-0,00534097
2372	0	2372	0,499053	2372	-0,00651056
2372	0	2372	0,498726	2372	-0,00651056
2372	0	2372	0,498726	2372	-0,00964
2372	0	2372	0,498326	2372	-0,00964
2372	0	2372	0,498326	2372	-0,0198971
2372	0	2372	0,498326	2372	-0,0198971
2372	0	2372	0,499669	2372	-0,0155121
2372	0	2372	0,499669	2372	-0,0155121
2373	0	2373	0,501496	2373	-0,0155121
2373	0	2373	0,501496	2373	-0,0156548
2373	0	2373	0,501342	2373	-0,0156548
2373	0	2373	0,501342	2373	-0,00885227
2373	0	2373	0,50195	2373	-0,00885227
2373	0	2373	0,50195	2373	-0,00140731
2373	0	2373	0,50195	2373	-0,00140731
2373	0	2373	0,502392	2373	-0,00168799
2373	0	2373	0,502392	2373	-0,00168799
2374	0	2374	0,502665	2374	0,00348922
2374	0	2374	0,502665	2374	0,00348922
2374	0	2374	0,502665	2374	0,00125408
2374	0	2374	0,502896	2374	0,00125408
2374	0	2374	0,502896	2374	-0,00278231
2374	0	2374	0,503034	2374	-0,00278231
2374	0	2374	0,503034	2374	0,000142578
2374	0	2374	0,503034	2374	0,000142578
2374	0	2374	0,503265	2374	0,00614995
2374	0	2374	0,503265	2374	0,00614995
2374	0	2374	0,501938	2374	0,00437247
2375	0	2375	0,501938	2375	0,00437247
2375	0	2375	0,501938	2375	0,00437247
2375	0	2375	0,502196	2375	0,00409386
2375	0	2375	0,502196	2375	0,00409386
2375	0	2375	0,503546	2375	-0,00104474
2375	0	2375	0,503546	2375	-0,00104474
2375	0	2375	0,504042	2375	-0,00787015
2375	0	2375	0,504042	2375	-0,00787015
2375	0	2375	0,503615	2375	-0,00287545
2376	0	2376	0,503615	2376	-0,00287545
2376	0	2376	0,503615	2376	-0,00619431
2376	0	2376	0,503365	2376	-0,00619431
2376	0	2376	0,503365	2376	0,00194465
2376	0	2376	0,50103	2376	0,00194465
2376	0	2376	0,50103	2376	0,00519007
2376	0	2376	0,501819	2376	0,00519007
2376	0	2376	0,501819	2376	0,00519007
2376	0	2376	0,501819	2376	0,00418862
2376	0	2376	0,500534	2376	0,00418862
2376	0	2376	0,500534	2376	-0,00513839
2377	0	2377	0,4999	2377	-0,00513839
2377	0	2377	0,4999	2377	0,00446429
2377	0	2377	0,500807	2377	0,00446429
2377	0	2377	0,500807	2377	0,00446429
2377	0	2377	0,500807	2377	-8,53E-06
2377	0	2377	0,500661	2377	-8,53E-06
2377	0	2377	0,500661	2377	0,00623825
2377	0	2377	0,499376	2377	0,00623825
2377	0	2377	0,499376	2377	0,0107011
2378	0	2378	0,501519	2378	0,0107011
2378	0	2378	0,501519	2378	0,00612919
2378	0	2378	0,501519	2378	0,00612919
2378	0	2378	0,501642	2378	0,00352953
2378	0	2378	0,501642	2378	0,00352953
2378	0	2378	0,500065	2378	0,0113735
2378	0	2378	0,500065	2378	0,0113735
2378	0	2378	0,500196	2378	0,0048008
2378	0	2378	0,500196	2378	0,0048008
2378	0	2378	0,500126	2378	0,0123252
2378	0	2378	0,500126	2378	0,0123252
2379	0	2379	0,500126	2379	0,0123252
2379	0	2379	0,499138	2379	0,0229923
2379	0	2379	0,499138	2379	0,0229923
2379	0	2379	0,499396	2379	0,0244886
2379	0	2379	0,499396	2379	0,0244886
2379	0	2379	0,499811	2379	0,0247179
2379	0	2379	0,499811	2379	0,0247179
2379	0	2379	0,501269	2379	0,0283937
2379	0	2379	0,501269	2379	0,0283937
2380	0	2380	0,501269	2380	0,0283937
2380	0	2380	0,501907	2380	0,0199655
2380	0	2380	0,501907	2380	0,0199655
2380	0	2380	0,501892	2380	0,00650413
2380	0	2380	0,501892	2380	0,00650413
2380	0	2380	0,502419	2380	0,00363463
2380	0	2380	0,502419	2380	0,00363463
2380	0	2380	0,500861	2380	0,000150274
2380	0	2380	0,500861	2380	0,000150274
2380	0	2380	0,500861	2380	0,000150274
2380	0	2380	0,499807	2380	-0,00691504
2381	0	2381	0,499807	2381	-0,00691504
2381	0	2381	0,500415	2381	-0,00738392
2381	0	2381	0,500415	2381	-0,00738392
2381	0	2381	0,500415	2381	-0,00738392
2381	0	2381	0,50053	2381	-0,00246673
2381	0	2381	0,50053	2381	-0,00246673
2381	0	2381	0,501584	2381	-0,0130402
2381	0	2381	0,501584	2381	-0,0130402
2381	0	2381	0,50223	2381	-0,0087857
2382	0	2382	0,50223	2382	-0,0087857
2382	0	2382	0,50223	2382	-0,00179876
2382	0	2382	0,501496	2382	-0,00179876
2382	0	2382	0,501496	2382	-0,00958911
2382	0	2382	0,500792	2382	-0,00958911
2382	0	2382	0,500792	2382	-0,0128598
2382	0	2382	0,501269	2382	-0,0128598
2382	0	2382	0,501269	2382	-0,0128598
2382	0	2382	0,501269	2382	-0,00924465
2382	0	2382	0,499211	2382	-0,00924465
2382	0	2382	0,499211	2382	-0,0138734
2383	0	2383	0,499453	2383	-0,0138734
2383	0	2383	0,499453	2383	-0,013621
2383	0	2383	0,499138	2383	-0,013621
2383	0	2383	0,499138	2383	-0,013621
2383	0	2383	0,49848	2383	-0,011833
2383	0	2383	0,49848	2383	-0,011833
2383	0	2383	0,49848	2383	-0,0088435
2383	0	2383	0,498403	2383	-0,0088435
2383	0	2383	0,498403	2383	-0,0118028
2384	0	2384	0,499461	2384	-0,0118028
2384	0	2384	0,499461	2384	0,000732545
2384	0	2384	0,499461	2384	0,000732545
2384	0	2384	0,501873	2384	0,00254376
2384	0	2384	0,501873	2384	0,00254376
2384	0	2384	0,501984	2384	0,00254376
2384	0	2384	0,501984	2384	-0,0058214
2384	0	2384	0,501984	2384	-0,0058214
2384	0	2384	0,502177	2384	0,000935475
2384	0	2384	0,502177	2384	0,000935475
2384	0	2384	0,501611	2384	-0,00417747
2385	0	2385	0,501611	2385	-0,00417747
2385	0	2385	0,501803	2385	-0,00408209
2385	0	2385	0,501803	2385	-0,00408209
2385	0	2385	0,501803	2385	0,00477752
2385	0	2385	0,50103	2385	0,00477752
2385	0	2385	0,50103	2385	0,00477752
2385	0	2385	0,50013	2385	-0,00752657
2385	0	2385	0,50013	2385	-0,00752657
2385	0	2385	0,501107	2385	-0,00731246
2386	0	2386	0,501107	2386	-0,00731246
2386	0	2386	0,500719	2386	-0,00957176
2386	0	2386	0,500719	2386	-0,00957176
2386	0	2386	0,500719	2386	-0,00828878
2386	0	2386	0,499657	2386	-0,00828878
2386	0	2386	0,499657	2386	-0,00828878
2386	0	2386	0,50058	2386	-0,000302596
2386	0	2386	0,50058	2386	-0,000302596
2386	0	2386	0,500711	2386	0,00863552
2386	0	2386	0,500711	2386	0,00863552
2386	0	2386	0,500711	2386	0,0145264
2387	0	2387	0,500042	2387	0,0145264
2387	0	2387	0,500042	2387	0,0134644
2387	0	2387	0,499888	2387	0,0134644
2387	0	2387	0,499888	2387	0,0134644
2387	0	2387	0,499753	2387	0,0131239
2387	0	2387	0,499753	2387	0,0131239
2387	0	2387	0,499757	2387	0,010359
2387	0	2387	0,499757	2387	0,010359
2387	0	2387	0,500076	2387	0,00443146
2388	0	2388	0,500076	2388	0,00443146
2388	0	2388	0,500076	2388	-0,00440325
2388	0	2388	0,499876	2388	-0,00440325
2388	0	2388	0,499876	2388	-0,00407533
2388	0	2388	0,500023	2388	-0,00407533
2388	0	2388	0,500023	2388	-0,00407533
2388	0	2388	0,500023	2388	-0,00148632
2388	0	2388	0,498715	2388	-0,00148632
2388	0	2388	0,498715	2388	-0,00148632
2388	0	2388	0,499565	2388	0,0057657
2388	0	2388	0,499565	2388	0,0057657
2389	0	2389	0,499184	2389	0,00118029
2389	0	2389	0,499184	2389	0,00118029
2389	0	2389	0,498638	2389	0,0068072
2389	0	2389	0,498638	2389	0,0068072
2389	0	2389	0,499861	2389	0,00336832
2389	0	2389	0,499861	2389	0,00336832
2389	0	2389	0,499861	2389	0,00336832
2389	0	2389	0,500696	2389	0,00261405
2389	0	2389	0,500696	2389	0,00261405
2390	0	2390	0,498934	2390	-0,00618001
2390	0	2390	0,498934	2390	-0,00618001
2390	0	2390	0,499519	2390	-0,00273347
2390	0	2390	0,499519	2390	-0,00273347
2390	0	2390	0,499649	2390	0,00107524
2390	0	2390	0,499649	2390	0,00107524
2390	0	2390	0,498034	2390	0,00503537
2390	0	2390	0,498034	2390	0,00503537
2390	0	2390	0,498034	2390	0,00130891
2390	0	2390	0,498322	2390	0,00130891
2390	0	2390	0,498322	2390	0,0107644
2391	0	2391	0,497022	2391	0,0107644
2391	0	2391	0,497022	2391	0,00891015
2391	0	2391	0,496565	2391	0,00891015
2391	0	2391	0,496565	2391	0,00461528
2391	0	2391	0,495919	2391	0,00461528
2391	0	2391	0,495919	2391	0,00121124
2391	0	2391	0,495453	2391	0,00121124
2391	0	2391	0,495453	2391	0,00200752
2391	0	2391	0,495238	2391	0,00200752
2392	0	2392	0,495238	2392	4,67E-05
2392	0	2392	0,495238	2392	4,67E-05
2392	0	2392	0,495238	2392	0,00291929
2392	0	2392	0,495238	2392	0,00291929
2392	0	2392	0,495238	2392	0,00291929
2392	0	2392	0,495238	2392	0,00322525
2392	0	2392	0,495238	2392	0,00322525
2392	0	2392	0,495238	2392	0,0110372
2392	0	2392	0,495238	2392	0,0110372
2392	0	2392	0,495238	2392	0,00627523
2392	0	2392	0,495238	2392	0,00627523
2393	0	2393	0,495238	2393	0,00973145
2393	0	2393	0,495238	2393	0,00973145
2393	0	2393	0,495238	2393	0,00973145
2393	0	2393	0,495238	2393	0,0030577
2393	0	2393	0,495238	2393	0,0030577
2393	0	2393	0,495238	2393	-0,00169969
2393	0	2393	0,495238	2393	-0,00169969
2393	0	2393	0,495238	2393	0,00470025
2393	0	2393	0,495238	2393	0,00470025
2394	0	2394	0,495238	2394	0,00470025
2394	0	2394	0,495238	2394	-0,000450487
2394	0	2394	0,495238	2394	-0,000450487
